Number,Title,Source,URL,Date
82,KSU psychology professor studies effects of military stress,No Source,https://news.kennesaw.edu/stories/2021/research-with-relevance-psychology.php,"March 17, 2021"
83,Written by Whitten | KSU to Return to Normal Operations in Fall 2021,No Source,https://president.kennesaw.edu/writtenbywhitten/posts/ksu-to-return-to-normal-operations-in-fall-2021.php,"March 16, 2021"
84,KSU's School of Instructional Technology promotes innovative teaching and learning,No Source,https://news.kennesaw.edu/stories/2021/ksu-school-of-instructional-technology-and-innovation.php,"March 15, 2021"
85,Kennesaw State to host virtual Spring Arts Festival,No Source,https://news.kennesaw.edu/stories/2021/ksu-virtual-spring-arts-festival-2021.php,"March 11, 2021"
86,Kennesaw State to Host Annual EQUINOX Week March 15-19,No Source,https://news.kennesaw.edu/stories/2021/ksu-hosts-equinox-symposium.php,"March 10, 2021"
87,Written by Whitten | Double Owl Pathways,No Source,https://president.kennesaw.edu/writtenbywhitten/posts/double-owl-pathways.php,"March 09, 2021"
88,IT Graduate Degree A Gateway to Industry for Career Changers,No Source,https://news.kennesaw.edu/stories/2021/information-technology-degree-alumni-careers.php,"March 09, 2021"
89,Jesús Castro-Balbi Named Director of Dr. Bobbie Bailey School of Music,No Source,https://news.kennesaw.edu/stories/2021/director-named-school-of-music.php,"March 09, 2021"
90,Kennesaw State Equips Students for Georgia's Booming FinTech Sector,No Source,https://news.kennesaw.edu/stories/2021/ksu-equips-students-for-fintech-sector-2021.php,"March 08, 2021"
91,KSU professor explores advocacy in politics,No Source,https://news.kennesaw.edu/stories/2021/political-science-book-advocacy-in-politics.php,"March 05, 2021"
92,Kennesaw State construction management student honored with national award,No Source,https://news.kennesaw.edu/stories/2021/nahb-outstanding-student-award.php,"March 04, 2021"
93,"KSU Engineering Professor Uses Data, Simulations to Combat COVID-19",No Source,https://news.kennesaw.edu/stories/2021/engineering-professor-data-covid-19-research.php,"March 03, 2021"
94,Spring into action: KSU Athletics creates spring season like no other,No Source,https://news.kennesaw.edu/stories/2021/spring-2021-athletics-competition.php,"March 03, 2021"
95,Written by Whitten | Helping Veterans Achieve Their Dreams,No Source,https://president.kennesaw.edu/writtenbywhitten/posts/helping-veterans-achieve-their-dreams.php,"March 02, 2021"
96,Michael and Donna Coles Launch Scholarship Endowment to Support Veterans  ,No Source,https://news.kennesaw.edu/stories/2021/coles-veterans-scholarship-endowment-fund.php,"March 02, 2021"
97,Kroger partners with Kennesaw State to expand on-campus food pantries,No Source,https://news.kennesaw.edu/stories/2021/ksu-care-and-kroger-expanded-food-pantries.php,"March 01, 2021"
98,Developmental biologist receives NSF grant,No Source,https://news.kennesaw.edu/stories/2021/developmental-biology-nsf-grant.php,"February 26, 2021"
99,"""Ask Admissions"" series uses Facebook and YouTube to inform prospective students",No Source,https://news.kennesaw.edu/stories/2021/ask-admissions-spring-2021.php,"February 25, 2021"
100,KSU Students Selected to Present Research at Georgia State Capitol ,No Source,https://news.kennesaw.edu/stories/2021/posters-at-ga-capitol-2021.php,"February 24, 2021"
101,Construction Management Professor Strives for Global Sustainability,No Source,https://news.kennesaw.edu/stories/2021/research-with-relevance-construction-management.php,"February 24, 2021"
102,Written by Whitten | Alumni Build Relationships with and for KSU,No Source,https://president.kennesaw.edu/writtenbywhitten/posts/alumni-build-relationships-with-and-for-ksu.php,"February 23, 2021"
103,KSU students help nonprofit take music education global,No Source,https://news.kennesaw.edu/stories/2021/ksu-mba-students-amani-project.php,"February 22, 2021"
104,Rare Book Museum Highlights African American Collection during Black History Month,No Source,https://news.kennesaw.edu/stories/2021/bentley-rare-book-museum-black-history-month.php,"February 22, 2021"
105,Celebrate Black History Month with ArtsKSU,No Source,https://news.kennesaw.edu/stories/2021/black-history-month-artsksu.php,"February 19, 2021"
106,Professor's research examines how Southern hip-hop highlights Black culture,No Source,https://news.kennesaw.edu/stories/2021/thought-provoking-podcast-english-and-african-diaspora-studies.php,"February 18, 2021"
107,Mushrooms and Microbiology,No Source,https://experience.kennesaw.edu/mushroomsandmicrobiology,"February 18, 2021"
108,KSU Team Invited to Present in State Department Research Showcase,No Source,https://news.kennesaw.edu/stories/2021/diplomacy-lab-demo-day.php,"February 17, 2021"
109,Written by Whitten | Putting the Whole Student First,No Source,https://president.kennesaw.edu/writtenbywhitten/posts/putting-the-whole-student-first.php,"February 16, 2021"
110,Kennesaw State expands mental health resources for students,No Source,https://news.kennesaw.edu/stories/2021/ksu-mental-health-wellbeing-initiative.php,"February 16, 2021"
111,School of Data Science and Analytics Established at KSU,No Source,https://news.kennesaw.edu/stories/2021/ksu-school-of-data-science-and-analytics.php,"February 15, 2021"
112,Architecture Student Crafts Thesis to Preserve Black History,No Source,https://news.kennesaw.edu/stories/2021/architecture-student-preserves-black-history.php,"February 15, 2021"
113,New initiative accelerates path to master's degrees,No Source,https://news.kennesaw.edu/stories/2021/double-owl-pathways.php,"February 11, 2021"
114,Architecture professor receives Educator of the Year Award,No Source,https://news.kennesaw.edu/stories/2021/architecture-professor-aias-educator-of-the-year.php,"February 10, 2021"
115,Engineering team explores acoustic qualities of face masks,No Source,https://news.kennesaw.edu/stories/2021/research-with-relevance-021221-engineering.php,"February 10, 2021"
116,Multi-Million Dollar Gift to Name Bailey School of Music at KSU,No Source,https://news.kennesaw.edu/stories/2021/school-of-music-bailey-foundation-gift.php,"February 09, 2021"
117,Written by Whitten | Bobbie Bailey Foundation endows KSU's School of Music,No Source,https://president.kennesaw.edu/writtenbywhitten/posts/bobbie-bailey-foundation-endows-ksu-school-of-music.php,"February 09, 2021"
118,Georgia Power Foundation grant to help KSU boost number of Black male educators,No Source,https://news.kennesaw.edu/stories/2021/ksu-grant-call-me-mister.php,"February 08, 2021"
119,KSU's Teaching Weatherman,No Source,https://news.kennesaw.edu/stories/2021/ksu-teaching-weatherman-chesley-mcneil.php,"February 05, 2021"
120,Written by Whitten | Elite Nursing Scholars,No Source,https://president.kennesaw.edu/writtenbywhitten/posts/elite-honors-nursing-scholars.php,"February 02, 2021"
121,KSU and Wellstar Health System announce exclusive  $5 million endowment for honors nursing students,No Source,https://news.kennesaw.edu/stories/2021/ksu-wellstar-elite-honors-nursing-scholarship.php,"February 02, 2021"
122,KSU alum finds success at Equifax,No Source,https://news.kennesaw.edu/stories/2021/alum-computational-and-applied-mathematics.php,"February 01, 2021"
123,Champion for Future Engineers,No Source,https://news.kennesaw.edu/stories/2021/ksu-faculty-focus-engineering.php,"February 01, 2021"
124,Bentley Rare Book Museum Offers Research Opportunities,No Source,https://experience.kennesaw.edu/bentleyrarebooks,"January 29, 2021"
125,"KSU, Moroccan university partnering in women's leadership initiative",No Source,https://news.kennesaw.edu/stories/2021/women-leadership-cultural-exchange-morocco.php,"January 27, 2021"
126,Written by Whitten | Seeking Transformational Change at KSU and Beyond,No Source,https://president.kennesaw.edu/writtenbywhitten/posts/seeking-transformational-change-at-ksu-and-beyond.php,"January 26, 2021"
127,Kennesaw State launches The Radow Institute for Social Equity,No Source,https://news.kennesaw.edu/stories/2021/radow-institute-for-social-equity-at-ksu.php,"January 26, 2021"
128,Kennesaw State breaks ground for new residence hall,No Source,https://news.kennesaw.edu/stories/2021/ksu-new-residence-hall.php,"January 22, 2021"
